"convocatoria","area","questions","option_A","option_B","option_C","option_D","correct_answer"
"Examenes_2025_I","6664196-biologia-tipo-a","En caso de tener una solicitud de examen parasitológico seriado en heces de un niño con diarrea crónica y sospecha clínica 
de coccidiosis intestinal. ¿Qué método de diagnóstico realiza?","Kato-Katz","Graham (test del parche)","Sedimentación espontánea","Ziehl Neelsen (Kinyoun)","D"
"Examenes_2025_I","6664196-biologia-tipo-a","El C.S. Paz, ha sectorizado su jurisdicción para realizar intervenciones de promoción y prevención basados en el Modelo de 
Cuidado Integral de la Familia y Comunidad por Curso de Vida. En el marco de las Funciones Esenciales de la Salud Pública 
renovada, esta acción corresponde a la etapa de:","Asignación de recursos","Desarrollo de políticas","Acceso","Evaluación","C"
"Examenes_2025_I","6664196-biologia-tipo-a","Las alteraciones cromáticas en los eritrocitos están relacionadas con...","niveles de hemoglobina.","anemia falciforme.","enfermedades genéticas.","inclusiones anormales.","A"
"Examenes_2025_I","6664196-biologia-tipo-a","En el centro de salud de Lamas, reportan que un varón de 30 años, presenta fiebre, malestar general, sangrado y shock. Se 
informa que han aparecido muchos más casos en estos días y se sospecha de un brote de fiebre amarilla. Siendo Ro: el 
número promedio de casos nuevos que genera un caso dado a lo largo de un período infeccioso. ¿Cuál es el Ro que se 
espera tener en brote de fiebre amarilla?","Ro > 1","Ro = 0","Ro > 0.5","Ro < 1","A"
"Examenes_2025_I","6664196-biologia-tipo-a","En la enfermedad de la Tuberculosis, la presencia del agente infeccioso (Mycobacterium tuberculosis), corresponde a una 
causa...","necesaria y suficiente.","no necesaria pero suficiente.","de tipo ambiental.","necesaria pero no suficiente.","D"
"Examenes_2025_I","6664196-biologia-tipo-a","Luego de la recolección y procesamiento de datos de su estudio para investigar si hay asociación entre el alcoholismo y la 
violencia familiar en adultos varones de su comunidad. ¿Qué análisis estadístico llevará a cabo?","Probabilístico","Descriptivo","Inductivo","Inferencial","D"
"Examenes_2025_I","6664196-biologia-tipo-a","El Ministerio de Salud a través de ...... es responsable de distribuir, difundir, dirigir, supervisar, monitorear, evaluar los 
medicamentos en los sectores públicos y privados.","CENSOPAS","CENARES","DIGESA","DIGEMID","D"
"Examenes_2025_I","6664196-biologia-tipo-b","Se labora en un establecimiento de salud donde no hay una visión definida sobre el trabajo que se realiza; y existen muchos 
problemas interpersonales. Si se desea cambiar esta situación. ¿Qué se debe mejorar?","Plan de acción","Proyecto de mejora","Recursos humanos","Clima organizacional","D"
"Examenes_2025_I","6664196-biologia-tipo-b","¿Cuántas dosis de la vacuna contra la varicela se debe administrar a un niño de tres años?","Ninguna","Tres","Una","Dos","C"
"Examenes_2025_I","6664196-biologia-tipo-b","La ética cultiva y promueve el ejercicio de la moral y los valores para que los actos estén encuadrados en el bien y en el 
derecho en beneficio de la sociedad. Como profesional de la salud. ¿Qué principios debe cumplir en la atención a la población 
objetivo?","Orden, fraternidad, moral y derecho","Fraternidad, moral, deber y orden","Solidaridad, orden, deber y derecho","Orden, moral, deber y derecho","D"
"Examenes_2025_I","6664196-biologia-tipo-b","En caso de tener una solicitud de examen parasitológico seriado en heces de un paciente con sospecha de 
estrongiloidiasis. ¿Qué métodos de diagnóstico realizaría?","Kato-Katz y Sheather Sugar","Directo microscópico y Baerman","Faust y Ritchie","Ziehl Neelsen y Tricrómica","B"
"Examenes_2025_I","6664196-biologia-tipo-b","La sala situacional de salud es una herramienta que ofrece evidencia sobre la eficacia de las intervenciones en salud y sobre 
la capacidad de los sistemas de salud para responder a las necesidades de salud de la población. ¿Quiénes la deben conocer 
y analizar prioritariamente?","El responsable de epidemiologia y jefe de establecimiento","Todo el personal de salud y autoridades locales","Coordinadores de red y responsable de epidemiología","Promotores de salud y responsable de promoción de la salud","B"
"Examenes_2025_I","6664196-biologia-tipo-b","Al Centro de Salud de Chuquibamba de la provincia de Condesuyos, acude una gestante añosa, en periodo expulsivo, con 
antecedentes de preeclampsia; el parto se complica y fallecen madre y niño. Ante este evento. ¿Qué Auditoría de la Calidad 
de la Atención en Salud corresponde seguir?","Regular","Externa","De caso","Dirimente","C"
"Examenes_2025_I","6664196-biologia-tipo-b","La ética en la función pública no se queda en la teoría (reflexión), sino que debe llevarse a la práctica para tener un adecuado 
desempeño laboral. Como profesional de salud ante un caso de un diagnóstico que es confidencial, por el tipo de enfermedad. 
¿Qué principios éticos debe cumplirse?","Respeto y atención diferenciada","Silencio, manejo de la información","Veracidad, lealtad, eficiencia","Respeto, probidad y eficiencia","D"
"Examenes_2025_I","6664196-biologia-tipo-b","Mujer de 70 años, procedente de Loreto, hace 2 días presentó fiebre de 39°C, dolor de articulaciones y cefalea, el día de hoy 
acude al establecimiento con vómitos persistentes y sangrado de mucosas. Funciones vitales: T°: 36°C, PA: 100/70 mmHg, 
FR: 28X'. ¿Qué tipo de dengue es?","Probable con signos de alarma","Hemorrágico con signos de alarma","Confirmado sin signos de alarma","Grave","A"
"Examenes_2025_I","6664196-biologia-tipo-b","Un serumista está trabajando en un establecimiento de salud con población asignada, que cuenta con médico 
cirujano, profesionales de enfermería, obstetricia y personal técnico de enfermería. Según su cartera de servicios. ¿Cuál es 
el nivel de atención en el que se encuentra?","I-2","I-4","I-1","I-3","A"
"Examenes_2025_I","6664196-biologia-tipo-b","La promoción de la salud se define como la acción de ofrecer a los pueblos las vías y los medios suficientes para …… los 
problemas de salud y autocontrolar el proceso de salud-enfermedad.","controlar o mantener","atenuar o eliminar","diferir o mitigar","restringir o acortar","B"
"Examenes_2025_I","6664196-biologia-tipo-b","El POI Multianual del Ministerio de Salud es ……, en el cual se establece la programación de metas físicas y de costeo que 
se espera alcanzar en los próximos tres años.","herramienta de articulación","herramienta de gestión","instrumento de articulación","instrumento de gestión","D"
"Examenes_2025_I","6664196-biologia-tipo-b","¿A qué categoría de establecimiento de salud corresponde los siguientes procedimientos mínimos de laboratorio clínico? 
Inmunología: prueba de aglutinaciones, test de RPR y VDRL; Microbiología: B. K. en esputo y examen parasitológico de heces 
directo; Hematología: gota gruesa, hemograma, hematocrito, hemoglobina, tiempo de coagulación, tiempo de sangría y 
velocidad de sedimentación globular.","I-4","I-2","I-1","I-3","D"
"Examenes_2025_I","6664196-biologia-tipo-b","La transmisión del dengue a un huésped susceptible se da a través de la picadura de un zancudo hembra infectado (Aedes 
aegypti), estos zancudos pican preferentemente ...... y transmiten la enfermedad a varias personas durante toda su vida.","al atardecer y durante la noche","solo en época de lluvias","a medio día y sin lluvia","al amanecer y al atardecer","D"
"Examenes_2025_I","6664196-biologia-tipo-b","En una familia, en el interior del país, el mayor de sus tres hijos presentó un tumor maligno de retina (retinoblastoma), y es 
tratado en un instituto especializado de Lima. ¿Qué le corresponde realizar al centro de salud local con el resto de los 
hermanos?","Evaluarlos y referirlos","Vacunarlos contra VPH","Actividad educativa","Contratar especialistas","A"
"Examenes_2025_I","6664196-biologia-tipo-b","En caso de tener una solicitud de examen parasitológico seriado en heces de un niño con diarrea crónica y sospecha clínica 
de coccidiosis intestinal. ¿Qué método de diagnóstico realiza?","Kato-Katz","Sedimentación espontánea","Ziehl Neelsen (Kinyoun)","Graham (test del parche)","C"
"Examenes_2025_I","6664196-biologia-tipo-b","Respecto a la enfermedad hipertensiva: el ...... es un factor de riesgo modificable y el ...... es un no modificable.","tabaquismo / sobrepeso","origen afrodescendiente / síndrome metabólico","edad / estilo de vida","sedentarismo / sexo masculino","D"
"Examenes_2025_I","6664196-biologia-tipo-b","En la metodología del análisis FODA, el comportamiento de la población, costumbre y hábitos negativos que son difíciles de 
cambiar, se identifican como:","Oportunidades","Negatividad","Debilidades","Amenazas","D"
"Examenes_2025_I","6664196-biologia-tipo-b","En el proceso de redacción del informe final de su estudio transversal analítico sobre la relación entre la ingesta de bebidas 
gaseosas y sobrepeso; usted desea que todas las secciones tengan coherencia entre sí. ¿Qué herramienta debe usar para 
verificarla?","Matriz de operacionalización","Lista de verificación","Matriz de consistencia","Revisión de Turnitin","C"
"Examenes_2025_I","6664196-biologia-tipo-b","¿Cuál es una medida preventiva contra la anemia ferropénica para un niño de 13 meses procedente de una zona rural?","Control de parasitosis intestinal","Alimentación con vegetales verdes","Suplementación con vitamina K","Consumo de cereales","A"
"Examenes_2025_I","6664196-biologia-tipo-b","Un egresado de biología, se encuentra laborando en un establecimiento de salud sin contar con el título y la colegiatura 
correspondientes. ¿Qué tipo de falta es?","Leve","Injusticia","Nepotismo","Grave","D"
"Examenes_2025_I","6664196-biologia-tipo-b","¿Cuál es el tipo de prevención cuyo objetivo es disminuir el avance y las complicaciones de la enfermedad establecida, 
mediante acciones orientadas a disminuir las secuelas y la discapacidad?","Terciaria","Secundaria","Primaria","Cuaternaria","A"
"Examenes_2025_I","6664196-biologia-tipo-b","Las actividades de extracción de oro artesanal y en pequeña escala están relacionadas a una exposición de ......; un metal 
pesado tratado en el convenio de Minamata.","plomo","cadmio","arsénico","mercurio","D"
"Examenes_2025_I","6664196-biologia-tipo-b","¿Qué prueba de tamizaje se podrían realizar en indígenas amazónicos para detectar posibles casos de VHB?","Prueba rápida HBsAg","Test RPR","Cultivo celular","Western Blot","A"
"Examenes_2025_I","6664196-biologia-tipo-b","En una farmacia se va a instalar el control termostático de la unidad de refrigeración. ¿Qué se debe tener en cuenta con los 
sensores?","Con exactitud de aproximadamente 0.3°C","Áreas con poca variabilidad en temperatura","Deben estar calibrados","Dependientes del sistema de monitoreo","C"
"Examenes_2025_I","6664196-biologia-tipo-b","Usted desea motivar a su personal de salud para realizar una investigación científica sobe la anemia infantil en su comunidad, 
para ello les dice que el principal propósito de la investigación científica es...","consolidar el trabajo en equipo.","generar conocimiento científico útil.","captar inversiones en salud.","mejorar la gestión de la salud.","B"
